"GOLLUM","Pull it in! Go on, go on, go on, pull it in!"
"GOLLUM","'Murderer' they called us. They cursed us and drove us away."
"GOLLUM","Gollum' Gollum' Gollum' and we wept precious. We wept to be so alone."
"GOLLUM","and cool, so nice for feet' and we only wish to catch a fish so juicy sweet."
"GOLLUM","And we forgot the taste of bread, the sound of trees and the softness of the wind. We even forgot our own name."
"GOLLUM","Wake up! Wake up! Wake up sleepies! We must go, yes, we must go at once."
"SAM","And I've gone and had too much. It must be getting late."
"SAM","Oh no, I'm not hungry, leastways not for lembas bread."
"SAM","Oh alright, but we don't have that much left. We have to be careful or we are going to run out. You go ahead and eat that Mr Frodo. I've rationed it, there should be enough."
"GOLLUM","Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry."
"SAM","There and Back Again, a Hobbits tale by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished it."
"SAM","Oh no! What do I do? What do I do?"
"SAM","Get off of me! Nobody pushes me you filthy maggot! Get off of me!"
"SAM","We're going that way, straight as we can. There's no point carrying anything we're not sure to need."
"SAM","Mr Frodo, look. There is light and beauty up there that no shadow can touch."
"SAM","I don't think there will be a return journey Mr Frodo."
"GOLLUM","Naughty little fly. Why does he cry? Caught in a web. Soon you'll be eaten."
"GOLLUM","Got away did it precious? Not this time. Not this time."
"GOLLUM","It wasn't us. It wasn't us. Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it."
"SAM","What are you up to?   Sneaking off are we?"
"GOLLUM","Sneaking?   Sneaking?   Fat Hobbit is always so polite.   Smeagol shows them secret ways that nobody else could find and they say 'sneak! '  Sneak?   Very nice friend, oh yes my precious very nice very nice!"
"SAM","Alright!   Alright!   You just startled me is all.   What were you doing?"
"SAM","Fine, have it your own way.     I'm sorry to wake you Mr Frodo but we have to be moving on."
"SAM","It's always dark here.     It's gone!   The elven bread!"
"GOLLUM","Smeagol?   No, no, not poor Smeagol.   Smeagol hates nasty elf bread."
"SAM","You're a lying rat!   What did you do with it?"
"GOLLUM","Look, what's this?     Crumbs on his jacketses.   He took it!  , He took it!   I've seen him, he's always stuffing his face when master's not looking."
